cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
TN-510,0.232643031,0.108153787,0.300491288,0.743967678,0.132458372,0.03066893,0.020045698,0.069597544,77.35374928,55.12624979,4.377499968,4.549999237,0.4048,9549.625,55.507375,12.27496946,729.5,0.06868393,148,2.593615532,18.71086066,1.899276257,1.946377471,259,-0.165817142
TN-512,0.234809943,0.119180359,0.170529582,0.913663673,0.021728892,0.007217344,0.012884225,0.041098261,75.23396492,56.00645447,4.907357275,3.320159912,0.450360761,25555.5,40.80939237,17.84703708,479.4719849,0.081887919,163.4884567,2.360714436,23.31631252,5.722499371,2.718396872,766.625,-0.502844155
TX-500,0.303780213,0.136742815,0.271099508,0.296924324,0.070853907,0.025057701,0.012742663,0.590934845,84.78249931,30.46000004,2.446250012,3.440002441,0.4647,47648.625,49.379125,17.0101639,704,0.08526507,142.5,1.736344576,25.46099009,5.014728546,3.468438685,3058.75,-0.949025154
TX-503,0.251343153,0.074566029,0.460734665,0.501861022,0.081136687,0.060738649,0.016927789,0.3361378,84.60791683,35.24124956,2.828750011,3.479999542,0.48845,31008.25,59.17475,15.77174771,856,0.05823306,165.5,1.326539278,17.18186923,2.536498308,2.239465654,2097,-2.461770058
TX-600,0.267885819,0.070383135,0.349153966,0.394992362,0.186262313,0.072660266,0.014237728,0.328056389,84.72374249,39.14291072,2.93107222,1.60666275,0.479420045,104607.5,57.75638512,15.62244237,785.3517456,0.086610671,158.5626526,1.523964882,21.25796155,3.007892132,3.098112315,3514.25,-0.743804872
TX-601,0.249883197,0.099685978,0.30320026,0.523967767,0.142629739,0.046449088,0.016784484,0.264542864,85.02467442,36.04077673,2.708773758,1.926101685,0.456096813,62033,56.99320296,14.31388033,721.8487854,0.100691971,176.1824265,1.645488977,20.96949496,3.14611721,2.277224004,2135.125,-0.517995656
TX-603,0.314574555,0.098174259,0.224977136,0.132704561,0.02937732,0.010366963,0.007153438,0.816306957,82.64916706,9.337500155,0.576250006,6.259998322,0.4656,25661,39.541,22.78654075,604.5,0.082457319,108,2.738557339,36.49852426,3.97469449,4.994473398,1213,-2.675664425
TX-604,0.28650108,0.118162688,0.192884296,0.609280398,0.136298258,0.011044663,0.012888736,0.226588624,84.32417393,38.38534689,3.283183571,3.073207855,0.465333563,9915,41.60305819,19.3305583,542.382782,0.065935744,190.3403701,1.30437243,25.13821847,7.195729733,3.611258447,272.75,-2.287241936
TX-607,0.257600203,0.106926654,0.223345973,0.504086543,0.07999811,0.019134609,0.011705791,0.380413809,84.0439806,33.81672287,2.456953883,3.241542816,0.451626382,324575.5,49.42954984,17.53012609,609.5038452,0.079360236,176.8471299,1.600612521,24.56507056,4.056669235,2.704255909,10315.25,-0.785057247
TX-611,0.266931027,0.102188189,0.229537718,0.614854503,0.06182047,0.029760057,0.013761695,0.27427858,78.86763573,17.81109631,0.747822996,1.494213104,0.451319766,5627.5,48.87670189,15.32790875,603.9480896,0.091268536,141.0473099,1.270799994,23.38917732,6.264215469,3.115825415,514.125,0.664123893
